hotel_id;Unnamed: 0;hotel_name;url;Comodidades;Limpeza;Conforto;Custo-benefício;Localização;Total;WiFi gratuito;number_of_ratings
10966118;2;Casa em lindo cond. a 5min da praia PEV105;https://www.booking.com/hotel/br/casa-em-lindo-cond-a-5min-da-praia-pev105.html;;;;;;;;0
10959776;5;Apartamentos no Jardim Goiás Goiânia/GO - THO;https://www.booking.com/hotel/br/apartamentos-no-jardim-goias-goiania-go-tho.html;;;;;;;;0
10949139;6;Casa triplex em condomínio Floripa-SC ALI024;https://www.booking.com/hotel/br/casa-triplex-em-condominio-floripa-sc-ali024.html;;;;;;;;0
10948439;9;Apto com piscina no centro de Floripa PCE0406;https://www.booking.com/hotel/br/apto-com-piscina-no-centro-de-floripa-pce0406.html;;;;;;;;0
10943450;10;Apto espaçoso na beira do lago em Ilhéus ARS0169;https://www.booking.com/hotel/br/apto-espacoso-na-beira-do-lago-em-ilheus-ars0169.html;;;;;;;;0
10936844;12;Apto térreo com churrasqueira Ubatuba-SP NXI001;https://www.booking.com/hotel/br/apto-terreo-com-churrasqueira-ubatuba-sp-nxi001.html;;;;;;;;0
10936145;13;SPJ's - Jurerê Spot;https://www.booking.com/hotel/br/spjs-jurere-spot.html;;;;;;;;0
10902684;16;Casa à beira-mar com piscina Floripa-SC RJD156;https://www.booking.com/hotel/br/bela-casa-a-beira-mar-c-picina-rjd156.html;;;;;;;;0
10901604;17;Apto 450m da Praia do Itaguá Ubatuba-SP PVI032;https://www.booking.com/hotel/br/apto-450m-da-praia-do-itagua-ubatuba-sp-pvi032.html;;;;;;;;0
10892221;20;Casa com piscina Armação dos Búzios-RJ RDZ005;https://www.booking.com/hotel/br/casa-com-piscina-armacao-dos-buzios-rj-rdz005.html;;;;;;;;0
10880621;23;Apto estiloso no Jardim Goiás -THM2608;https://www.booking.com/hotel/br/apto-estiloso-no-jardim-goias-thm2608.html;;;;;;;;0
10880264;24;Casa Residencial Quinta Do Sol-Pirenópolis-QSPB005;https://www.booking.com/hotel/br/casa-residencial-quinta-do-sol-pirenopolis-qspb005.html;;;;;;;;0
